,Date,time,PM<sub>10</sub> particulate matter (Hourly measured),status,unit,Nitric oxide,status.1,unit.1,Nitrogen dioxide,status.2,unit.2,Nitrogen oxides as nitrogen dioxide,status.3,unit.3,Non-volatile PM<sub>10</sub> (Hourly measured),status.4,unit.4,Non-volatile PM<sub>2.5</sub> (Hourly measured),status.5,unit.5,Ozone,status.6,unit.6,PM<sub>2.5</sub> particulate matter (Hourly measured),status.7,unit.7,Sulphur dioxide,status.8,unit.8,Volatile PM<sub>10</sub> (Hourly measured),status.9,unit.9,Volatile PM<sub>2.5</sub> (Hourly measured),status.10,unit.10
0,01-01-2015,01:00,34.2,R,ugm-3 (TEOM FDMS),2.23641,R,ugm-3,35.28435,R,ugm-3,38.71346,R,ugm-3,28.7,R,ugm-3 (TEOM FDMS),21.1,R,ugm-3 (TEOM FDMS),28.00632,R,ugm-3,25.1,R,ugm-3 (TEOM FDMS),0.61733,R,ugm-3,5.5,R,ugm-3 (TEOM FDMS),4.0,R,ugm-3 (TEOM FDMS)
1,01-01-2015,02:00,31.7,R,ugm-3 (TEOM FDMS),2.7399,R,ugm-3,36.09398,R,ugm-3,40.2951,R,ugm-3,28.1,R,ugm-3 (TEOM FDMS),25.5,R,ugm-3 (TEOM FDMS),25.0793,R,ugm-3,32.7,R,ugm-3 (TEOM FDMS),0.88165,R,ugm-3,3.6,R,ugm-3 (TEOM FDMS),7.2,R,ugm-3 (TEOM FDMS)
2,01-01-2015,03:00,30.5,R,ugm-3 (TEOM FDMS),3.01971,R,ugm-3,36.78885,R,ugm-3,41.41901,R,ugm-3,26.2,R,ugm-3 (TEOM FDMS),20.9,R,ugm-3 (TEOM FDMS),24.29765,R,ugm-3,27.2,R,ugm-3 (TEOM FDMS),0.59471,R,ugm-3,4.3,R,ugm-3 (TEOM FDMS),6.3,R,ugm-3 (TEOM FDMS)
3,01-01-2015,04:00,24.6,R,ugm-3 (TEOM FDMS),2.89405,R,ugm-3,37.59067,R,ugm-3,42.02814,R,ugm-3,20.8,R,ugm-3 (TEOM FDMS),14.3,R,ugm-3 (TEOM FDMS),23.74883,R,ugm-3,20.5,R,ugm-3 (TEOM FDMS),0.46366,R,ugm-3,3.8,R,ugm-3 (TEOM FDMS),6.2,R,ugm-3 (TEOM FDMS)
4,01-01-2015,05:00,20.3,R,ugm-3 (TEOM FDMS),2.34867,R,ugm-3,31.69347,R,ugm-3,35.29471,R,ugm-3,17.4,R,ugm-3 (TEOM FDMS),13.0,R,ugm-3 (TEOM FDMS),30.93335,R,ugm-3,19.5,R,ugm-3 (TEOM FDMS),0.39714,R,ugm-3,2.9,R,ugm-3 (TEOM FDMS),6.5,R,ugm-3 (TEOM FDMS)
5,01-01-2015,06:00,25.0,R,ugm-3 (TEOM FDMS),1.80328,R,ugm-3,28.74057,R,ugm-3,31.50557,R,ugm-3,20.3,R,ugm-3 (TEOM FDMS),10.9,R,ugm-3 (TEOM FDMS),33.17851,R,ugm-3,16.2,R,ugm-3 (TEOM FDMS),0.46366,R,ugm-3,4.7,R,ugm-3 (TEOM FDMS),5.3,R,ugm-3 (TEOM FDMS)
6,01-01-2015,07:00,23.3,R,ugm-3 (TEOM FDMS),2.09702,R,ugm-3,30.95477,R,ugm-3,34.17016,R,ugm-3,20.3,R,ugm-3 (TEOM FDMS),16.6,R,ugm-3 (TEOM FDMS),28.33894,R,ugm-3,23.7,R,ugm-3 (TEOM FDMS),1.05904,R,ugm-3,3.0,R,ugm-3 (TEOM FDMS),7.1,R,ugm-3 (TEOM FDMS)
7,01-01-2015,08:00,29.0,R,ugm-3 (TEOM FDMS),1.92926,R,ugm-3,27.2034,R,ugm-3,30.16156,R,ugm-3,24.7,R,ugm-3 (TEOM FDMS),15.7,R,ugm-3 (TEOM FDMS),31.23271,R,ugm-3,20.7,R,ugm-3 (TEOM FDMS),0.79428,R,ugm-3,4.3,R,ugm-3 (TEOM FDMS),5.0,R,ugm-3 (TEOM FDMS)
8,01-01-2015,09:00,30.2,R,ugm-3 (TEOM FDMS),2.47402,R,ugm-3,29.35353,R,ugm-3,33.14697,R,ugm-3,24.3,R,ugm-3 (TEOM FDMS),15.2,R,ugm-3 (TEOM FDMS),29.98539,R,ugm-3,21.2,R,ugm-3 (TEOM FDMS),0.92599,R,ugm-3,5.9,R,ugm-3 (TEOM FDMS),6.0,R,ugm-3 (TEOM FDMS)
9,01-01-2015,10:00,27.0,R,ugm-3 (TEOM FDMS),2.64241,R,ugm-3,27.48023,R,ugm-3,31.53187,R,ugm-3,24.9,R,ugm-3 (TEOM FDMS),19.5,R,ugm-3 (TEOM FDMS),30.5841,R,ugm-3,23.0,R,ugm-3 (TEOM FDMS),0.99252,R,ugm-3,2.1,R,ugm-3 (TEOM FDMS),3.5,R,ugm-3 (TEOM FDMS)
10,01-01-2015,11:00,28.6,R,ugm-3 (TEOM FDMS),3.0194,R,ugm-3,26.08124,R,ugm-3,30.71093,R,ugm-3,24.3,R,ugm-3 (TEOM FDMS),15.3,R,ugm-3 (TEOM FDMS),33.12862,R,ugm-3,21.3,R,ugm-3 (TEOM FDMS),0.66123,R,ugm-3,4.3,R,ugm-3 (TEOM FDMS),6.0,R,ugm-3 (TEOM FDMS)
11,01-01-2015,12:00,30.4,R,ugm-3 (TEOM FDMS),3.81674,R,ugm-3,29.50462,R,ugm-3,35.35687,R,ugm-3,24.4,R,ugm-3 (TEOM FDMS),15.5,R,ugm-3 (TEOM FDMS),29.18711,R,ugm-3,19.7,R,ugm-3 (TEOM FDMS),0.99252,R,ugm-3,6.0,R,ugm-3 (TEOM FDMS),4.2,R,ugm-3 (TEOM FDMS)
12,01-01-2015,13:00,29.5,R,ugm-3 (TEOM FDMS),4.15164,R,ugm-3,31.92058,R,ugm-3,38.28634,R,ugm-3,22.7,R,ugm-3 (TEOM FDMS),14.5,R,ugm-3 (TEOM FDMS),28.98754,R,ugm-3,21.5,R,ugm-3 (TEOM FDMS),1.25794,R,ugm-3,6.8,R,ugm-3 (TEOM FDMS),7.0,R,ugm-3 (TEOM FDMS)
13,01-01-2015,14:00,26.4,R,ugm-3 (TEOM FDMS),3.60657,R,ugm-3,30.77499,R,ugm-3,36.30499,R,ugm-3,21.2,R,ugm-3 (TEOM FDMS),16.0,R,ugm-3 (TEOM FDMS),29.53636,R,ugm-3,24.0,R,ugm-3 (TEOM FDMS),1.19142,R,ugm-3,5.2,R,ugm-3 (TEOM FDMS),8.0,R,ugm-3 (TEOM FDMS)
14,01-01-2015,15:00,28.3,R,ugm-3 (TEOM FDMS),3.64835,R,ugm-3,30.10753,R,ugm-3,35.70159,R,ugm-3,21.1,R,ugm-3 (TEOM FDMS),12.8,R,ugm-3 (TEOM FDMS),33.9269,R,ugm-3,16.9,R,ugm-3 (TEOM FDMS),1.45684,R,ugm-3,7.2,R,ugm-3 (TEOM FDMS),4.1,R,ugm-3 (TEOM FDMS)
15,01-01-2015,16:00,27.2,R,ugm-3 (TEOM FDMS),3.14569,R,ugm-3,29.69826,R,ugm-3,34.52158,R,ugm-3,19.5,R,ugm-3 (TEOM FDMS),12.0,R,ugm-3 (TEOM FDMS),37.2697,R,ugm-3,18.4,R,ugm-3 (TEOM FDMS),1.58856,R,ugm-3,7.7,R,ugm-3 (TEOM FDMS),6.4,R,ugm-3 (TEOM FDMS)
16,01-01-2015,17:00,19.4,R,ugm-3 (TEOM FDMS),1.97105,R,ugm-3,25.33202,R,ugm-3,28.35425,R,ugm-3,15.0,R,ugm-3 (TEOM FDMS),11.8,R,ugm-3 (TEOM FDMS),41.2611,R,ugm-3,18.0,R,ugm-3 (TEOM FDMS),1.58856,R,ugm-3,4.4,R,ugm-3 (TEOM FDMS),6.2,R,ugm-3 (TEOM FDMS)
17,01-01-2015,18:00,23.4,R,ugm-3 (TEOM FDMS),2.13912,R,ugm-3,28.27966,R,ugm-3,31.5596,R,ugm-3,18.6,R,ugm-3 (TEOM FDMS),10.2,R,ugm-3 (TEOM FDMS),39.81422,R,ugm-3,13.5,R,ugm-3 (TEOM FDMS),1.9857,R,ugm-3,4.8,R,ugm-3 (TEOM FDMS),3.3,R,ugm-3 (TEOM FDMS)
18,01-01-2015,19:00,26.5,R,ugm-3 (TEOM FDMS),2.1809,R,ugm-3,27.07574,R,ugm-3,30.41975,R,ugm-3,22.2,R,ugm-3 (TEOM FDMS),13.2,R,ugm-3 (TEOM FDMS),39.51486,R,ugm-3,17.0,R,ugm-3 (TEOM FDMS),1.91917,R,ugm-3,4.3,R,ugm-3 (TEOM FDMS),3.8,R,ugm-3 (TEOM FDMS)
19,01-01-2015,20:00,25.1,R,ugm-3 (TEOM FDMS),2.13881,R,ugm-3,28.6153,R,ugm-3,31.89476,R,ugm-3,21.6,R,ugm-3 (TEOM FDMS),14.3,R,ugm-3 (TEOM FDMS),38.5669,R,ugm-3,19.8,R,ugm-3 (TEOM FDMS),1.72094,R,ugm-3,3.5,R,ugm-3 (TEOM FDMS),5.5,R,ugm-3 (TEOM FDMS)
20,01-01-2015,21:00,19.3,R,ugm-3 (TEOM FDMS),1.63552,R,ugm-3,23.31959,R,ugm-3,25.82736,R,ugm-3,14.4,R,ugm-3 (TEOM FDMS),10.0,R,ugm-3 (TEOM FDMS),42.70798,R,ugm-3,16.2,R,ugm-3 (TEOM FDMS),1.78679,R,ugm-3,4.9,R,ugm-3 (TEOM FDMS),6.2,R,ugm-3 (TEOM FDMS)
21,01-01-2015,22:00,15.4,R,ugm-3 (TEOM FDMS),1.50986,R,ugm-3,21.77859,R,ugm-3,24.09368,R,ugm-3,10.5,R,ugm-3 (TEOM FDMS),6.2,R,ugm-3 (TEOM FDMS),44.25465,R,ugm-3,10.5,R,ugm-3 (TEOM FDMS),1.85332,R,ugm-3,4.9,R,ugm-3 (TEOM FDMS),4.3,R,ugm-3 (TEOM FDMS)
22,01-01-2015,23:00,8.8,R,ugm-3 (TEOM FDMS),1.17465,R,ugm-3,18.82856,R,ugm-3,20.62966,R,ugm-3,6.7,R,ugm-3 (TEOM FDMS),3.8,R,ugm-3 (TEOM FDMS),49.79272,R,ugm-3,6.0,R,ugm-3 (TEOM FDMS),1.85332,R,ugm-3,2.1,R,ugm-3 (TEOM FDMS),2.2,R,ugm-3 (TEOM FDMS)
23,01-01-2015,24:00,11.5,R,ugm-3 (TEOM FDMS),1.13286,R,ugm-3,16.15011,R,ugm-3,17.88713,R,ugm-3,5.5,R,ugm-3 (TEOM FDMS),1.8,R,ugm-3 (TEOM FDMS),53.08562,R,ugm-3,5.9,R,ugm-3 (TEOM FDMS),2.58174,R,ugm-3,6.0,R,ugm-3 (TEOM FDMS),4.1,R,ugm-3 (TEOM FDMS)
24,02-01-2015,01:00,4.7,R,ugm-3 (TEOM FDMS),1.06519,R,ugm-3,13.9587,R,ugm-3,15.59198,R,ugm-3,1.6,R,ugm-3 (TEOM FDMS),2.0,R,ugm-3 (TEOM FDMS),56.54483,R,ugm-3,3.8,R,ugm-3 (TEOM FDMS),2.29547,R,ugm-3,3.1,R,ugm-3 (TEOM FDMS),1.8,R,ugm-3 (TEOM FDMS)
25,02-01-2015,02:00,5.1,R,ugm-3 (TEOM FDMS),0.79858,R,ugm-3,11.3416,R,ugm-3,12.56608,R,ugm-3,3.2,R,ugm-3 (TEOM FDMS),1.6,R,ugm-3 (TEOM FDMS),54.68218,R,ugm-3,5.4,R,ugm-3 (TEOM FDMS),2.29547,R,ugm-3,1.9,R,ugm-3 (TEOM FDMS),3.8,R,ugm-3 (TEOM FDMS)
26,02-01-2015,03:00,2.5,R,ugm-3 (TEOM FDMS),0.58841,R,ugm-3,13.41762,R,ugm-3,14.31984,R,ugm-3,1.2,R,ugm-3 (TEOM FDMS),2.9,R,ugm-3 (TEOM FDMS),50.79057,R,ugm-3,6.3,R,ugm-3 (TEOM FDMS),2.05222,R,ugm-3,1.3,R,ugm-3 (TEOM FDMS),3.4,R,ugm-3 (TEOM FDMS)
27,02-01-2015,04:00,3.8,R,ugm-3 (TEOM FDMS),1.05085,R,ugm-3,14.49579,R,ugm-3,16.10708,R,ugm-3,3.0,R,ugm-3 (TEOM FDMS),3.5,R,ugm-3 (TEOM FDMS),53.78412,R,ugm-3,3.6,R,ugm-3 (TEOM FDMS),2.31764,R,ugm-3,0.8,R,ugm-3 (TEOM FDMS),0.1,R,ugm-3 (TEOM FDMS)
28,02-01-2015,05:00,6.0,R,ugm-3 (TEOM FDMS),2.22768,R,ugm-3,23.1599,R,ugm-3,26.57562,R,ugm-3,3.3,R,ugm-3 (TEOM FDMS),1.9,R,ugm-3 (TEOM FDMS),51.63874,R,ugm-3,4.1,R,ugm-3 (TEOM FDMS),1.91984,R,ugm-3,2.7,R,ugm-3 (TEOM FDMS),2.2,R,ugm-3 (TEOM FDMS)
29,02-01-2015,06:00,4.1,R,ugm-3 (TEOM FDMS),6.13703,R,ugm-3,43.25453,R,ugm-3,52.66451,R,ugm-3,1.1,R,ugm-3 (TEOM FDMS),2.2,R,ugm-3 (TEOM FDMS),47.54755,R,ugm-3,3.9,R,ugm-3 (TEOM FDMS),1.91917,R,ugm-3,3.0,R,ugm-3 (TEOM FDMS),1.7,R,ugm-3 (TEOM FDMS)
30,02-01-2015,07:00,5.9,R,ugm-3 (TEOM FDMS),8.99522,R,ugm-3,54.75583,R,ugm-3,68.5483,R,ugm-3,4.8,R,ugm-3 (TEOM FDMS),2.5,R,ugm-3 (TEOM FDMS),36.87056,R,ugm-3,2.3,R,ugm-3 (TEOM FDMS),1.85265,R,ugm-3,1.1,R,ugm-3 (TEOM FDMS),-0.2,R,ugm-3 (TEOM FDMS)
31,02-01-2015,08:00,8.0,R,ugm-3 (TEOM FDMS),22.65658,R,ugm-3,62.82897,R,ugm-3,97.56858,R,ugm-3,7.0,R,ugm-3 (TEOM FDMS),5.5,R,ugm-3 (TEOM FDMS),30.18496,R,ugm-3,7.5,R,ugm-3 (TEOM FDMS),2.18393,R,ugm-3,1.0,R,ugm-3 (TEOM FDMS),2.0,R,ugm-3 (TEOM FDMS)
32,02-01-2015,09:00,11.9,R,ugm-3 (TEOM FDMS),10.34043,R,ugm-3,80.38811,R,ugm-3,96.24322,R,ugm-3,11.6,R,ugm-3 (TEOM FDMS),6.8,R,ugm-3 (TEOM FDMS),27.14152,R,ugm-3,5.5,R,ugm-3 (TEOM FDMS),1.65442,R,ugm-3,0.3,R,ugm-3 (TEOM FDMS),-1.3,R,ugm-3 (TEOM FDMS)
33,02-01-2015,10:00,10.8,R,ugm-3 (TEOM FDMS),13.36669,R,ugm-3,77.34007,R,ugm-3,97.83537,R,ugm-3,12.9,R,ugm-3 (TEOM FDMS),9.7,R,ugm-3 (TEOM FDMS),29.23701,R,ugm-3,9.5,R,ugm-3 (TEOM FDMS),1.0597,R,ugm-3,-2.1,R,ugm-3 (TEOM FDMS),-0.2,R,ugm-3 (TEOM FDMS)
34,02-01-2015,11:00,17.7,R,ugm-3 (TEOM FDMS),11.68502,R,ugm-3,59.14884,R,ugm-3,77.06562,R,ugm-3,16.0,R,ugm-3 (TEOM FDMS),5.9,R,ugm-3 (TEOM FDMS),32.18066,R,ugm-3,8.1,R,ugm-3 (TEOM FDMS),1.05904,R,ugm-3,1.7,R,ugm-3 (TEOM FDMS),2.2,R,ugm-3 (TEOM FDMS)
35,02-01-2015,12:00,16.5,R,ugm-3 (TEOM FDMS),12.48391,R,ugm-3,54.53159,R,ugm-3,73.67333,R,ugm-3,16.2,R,ugm-3 (TEOM FDMS),6.6,R,ugm-3 (TEOM FDMS),38.26755,R,ugm-3,9.2,R,ugm-3 (TEOM FDMS),1.05904,R,ugm-3,0.3,R,ugm-3 (TEOM FDMS),2.6,R,ugm-3 (TEOM FDMS)
36,02-01-2015,13:00,17.0,R,ugm-3 (TEOM FDMS),12.31615,R,ugm-3,53.32193,R,ugm-3,72.20644,R,ugm-3,14.6,R,ugm-3 (TEOM FDMS),6.3,R,ugm-3 (TEOM FDMS),39.914,R,ugm-3,9.6,R,ugm-3 (TEOM FDMS),0.72776,R,ugm-3,2.4,R,ugm-3 (TEOM FDMS),3.3,R,ugm-3 (TEOM FDMS)
37,02-01-2015,14:00,17.9,R,ugm-3 (TEOM FDMS),14.37576,R,ugm-3,57.63845,R,ugm-3,79.68097,R,ugm-3,17.6,R,ugm-3 (TEOM FDMS),6.9,R,ugm-3 (TEOM FDMS),39.86411,R,ugm-3,6.9,R,ugm-3 (TEOM FDMS),0.59538,R,ugm-3,0.3,R,ugm-3 (TEOM FDMS),0.0,R,ugm-3 (TEOM FDMS)
38,02-01-2015,15:00,15.1,R,ugm-3 (TEOM FDMS),12.18986,R,ugm-3,60.36376,R,ugm-3,79.05462,R,ugm-3,14.5,R,ugm-3 (TEOM FDMS),7.4,R,ugm-3 (TEOM FDMS),37.9183,R,ugm-3,11.2,R,ugm-3 (TEOM FDMS),0.19957,R,ugm-3,0.6,R,ugm-3 (TEOM FDMS),3.8,R,ugm-3 (TEOM FDMS)
39,02-01-2015,16:00,19.3,R,ugm-3 (TEOM FDMS),13.91332,R,ugm-3,70.97957,R,ugm-3,92.31303,R,ugm-3,16.9,R,ugm-3 (TEOM FDMS),7.9,R,ugm-3 (TEOM FDMS),25.24561,R,ugm-3,8.1,R,ugm-3 (TEOM FDMS),0.46366,R,ugm-3,2.4,R,ugm-3 (TEOM FDMS),0.2,R,ugm-3 (TEOM FDMS)
40,02-01-2015,17:00,19.8,R,ugm-3 (TEOM FDMS),10.00428,R,ugm-3,69.86076,R,ugm-3,85.20044,R,ugm-3,18.2,R,ugm-3 (TEOM FDMS),7.3,R,ugm-3 (TEOM FDMS),14.76818,R,ugm-3,9.7,R,ugm-3 (TEOM FDMS),0.46366,R,ugm-3,1.6,R,ugm-3 (TEOM FDMS),2.4,R,ugm-3 (TEOM FDMS)
41,02-01-2015,18:00,22.1,R,ugm-3 (TEOM FDMS),17.10797,R,ugm-3,80.54111,R,ugm-3,106.77296,R,ugm-3,20.5,R,ugm-3 (TEOM FDMS),10.3,R,ugm-3 (TEOM FDMS),4.59011,R,ugm-3,10.7,R,ugm-3 (TEOM FDMS),0.52952,R,ugm-3,1.6,R,ugm-3 (TEOM FDMS),0.4,R,ugm-3 (TEOM FDMS)
42,02-01-2015,19:00,25.4,R,ugm-3 (TEOM FDMS),21.98366,R,ugm-3,81.47059,R,ugm-3,115.1784,R,ugm-3,23.6,R,ugm-3 (TEOM FDMS),9.3,R,ugm-3 (TEOM FDMS),2.54452,R,ugm-3,10.2,R,ugm-3 (TEOM FDMS),0.59538,R,ugm-3,1.8,R,ugm-3 (TEOM FDMS),0.9,R,ugm-3 (TEOM FDMS)
43,02-01-2015,20:00,28.5,R,ugm-3 (TEOM FDMS),29.63367,R,ugm-3,80.01948,R,ugm-3,125.45713,R,ugm-3,26.6,R,ugm-3 (TEOM FDMS),15.8,R,ugm-3 (TEOM FDMS),0.79828,R,ugm-3,18.5,R,ugm-3 (TEOM FDMS),1.25794,R,ugm-3,1.9,R,ugm-3 (TEOM FDMS),2.7,R,ugm-3 (TEOM FDMS)
44,02-01-2015,21:00,26.9,R,ugm-3 (TEOM FDMS),24.16956,R,ugm-3,73.91956,R,ugm-3,110.97903,R,ugm-3,24.5,R,ugm-3 (TEOM FDMS),14.7,R,ugm-3 (TEOM FDMS),2.89377,R,ugm-3,17.8,R,ugm-3 (TEOM FDMS),0.59671,R,ugm-3,2.4,R,ugm-3 (TEOM FDMS),3.1,R,ugm-3 (TEOM FDMS)
45,02-01-2015,22:00,26.2,R,ugm-3 (TEOM FDMS),12.77828,R,ugm-3,66.81175,R,ugm-3,86.40484,R,ugm-3,22.7,R,ugm-3 (TEOM FDMS),13.6,R,ugm-3 (TEOM FDMS),6.13678,R,ugm-3,17.0,R,ugm-3 (TEOM FDMS),0.463,R,ugm-3,3.5,R,ugm-3 (TEOM FDMS),3.4,R,ugm-3 (TEOM FDMS)
46,02-01-2015,23:00,24.7,R,ugm-3 (TEOM FDMS),10.5506,R,ugm-3,68.66401,R,ugm-3,84.84137,R,ugm-3,22.7,R,ugm-3 (TEOM FDMS),12.6,R,ugm-3 (TEOM FDMS),6.28646,R,ugm-3,17.0,R,ugm-3 (TEOM FDMS),0.86014,R,ugm-3,2.0,R,ugm-3 (TEOM FDMS),4.4,R,ugm-3 (TEOM FDMS)
47,02-01-2015,24:00,19.2,R,ugm-3 (TEOM FDMS),11.2653,R,ugm-3,67.13018,R,ugm-3,84.40341,R,ugm-3,17.4,R,ugm-3 (TEOM FDMS),13.1,R,ugm-3 (TEOM FDMS),3.69205,R,ugm-3,18.9,R,ugm-3 (TEOM FDMS),0.92599,R,ugm-3,1.8,R,ugm-3 (TEOM FDMS),5.8,R,ugm-3 (TEOM FDMS)
48,03-01-2015,01:00,20.1,R,ugm-3 (TEOM FDMS),8.26295,R,ugm-3,59.50425,R,ugm-3,72.17393,R,ugm-3,16.6,R,ugm-3 (TEOM FDMS),10.6,R,ugm-3 (TEOM FDMS),9.04717,R,ugm-3,14.0,R,ugm-3 (TEOM FDMS),0.70514,R,ugm-3,3.5,R,ugm-3 (TEOM FDMS),3.4,R,ugm-3 (TEOM FDMS)
49,03-01-2015,02:00,17.7,R,ugm-3 (TEOM FDMS),4.55348,R,ugm-3,48.35374,R,ugm-3,55.33564,R,ugm-3,12.8,R,ugm-3 (TEOM FDMS),6.0,R,ugm-3 (TEOM FDMS),16.69736,R,ugm-3,14.0,R,ugm-3 (TEOM FDMS),0.79384,R,ugm-3,4.9,R,ugm-3 (TEOM FDMS),8.0,R,ugm-3 (TEOM FDMS)
50,03-01-2015,03:00,18.0,R,ugm-3 (TEOM FDMS),3.83638,R,ugm-3,45.00782,R,ugm-3,50.89019,R,ugm-3,14.3,R,ugm-3 (TEOM FDMS),3.6,R,ugm-3 (TEOM FDMS),29.73593,R,ugm-3,6.3,R,ugm-3 (TEOM FDMS),1.12556,R,ugm-3,3.7,R,ugm-3 (TEOM FDMS),2.7,R,ugm-3 (TEOM FDMS)
51,03-01-2015,04:00,18.7,R,ugm-3 (TEOM FDMS),2.52952,R,ugm-3,38.94472,R,ugm-3,42.82327,R,ugm-3,14.4,R,ugm-3 (TEOM FDMS),3.6,R,ugm-3 (TEOM FDMS),39.21551,R,ugm-3,6.9,R,ugm-3 (TEOM FDMS),1.12556,R,ugm-3,4.3,R,ugm-3 (TEOM FDMS),3.3,R,ugm-3 (TEOM FDMS)
52,03-01-2015,05:00,6.8,R,ugm-3 (TEOM FDMS),2.06584,R,ugm-3,29.32819,R,ugm-3,32.49577,R,ugm-3,6.0,R,ugm-3 (TEOM FDMS),2.8,R,ugm-3 (TEOM FDMS),51.33938,R,ugm-3,6.0,R,ugm-3 (TEOM FDMS),0.79361,R,ugm-3,0.8,R,ugm-3 (TEOM FDMS),3.2,R,ugm-3 (TEOM FDMS)
53,03-01-2015,06:00,10.7,R,ugm-3 (TEOM FDMS),5.22775,R,ugm-3,56.71949,R,ugm-3,64.73526,R,ugm-3,4.9,R,ugm-3 (TEOM FDMS),0.5,R,ugm-3 (TEOM FDMS),23.54926,R,ugm-3,4.8,R,ugm-3 (TEOM FDMS),0.86014,R,ugm-3,5.8,R,ugm-3 (TEOM FDMS),4.3,R,ugm-3 (TEOM FDMS)
54,03-01-2015,07:00,7.6,R,ugm-3 (TEOM FDMS),2.95111,R,ugm-3,47.68867,R,ugm-3,52.21364,R,ugm-3,2.0,R,ugm-3 (TEOM FDMS),-0.2,R,ugm-3 (TEOM FDMS),30.13507,R,ugm-3,5.1,R,ugm-3 (TEOM FDMS),1.32513,R,ugm-3,5.6,R,ugm-3 (TEOM FDMS),5.3,R,ugm-3 (TEOM FDMS)
55,03-01-2015,08:00,5.6,R,ugm-3 (TEOM FDMS),8.43175,R,ugm-3,63.87989,R,ugm-3,76.80839,R,ugm-3,0.5,R,ugm-3 (TEOM FDMS),0.2,R,ugm-3 (TEOM FDMS),15.01764,R,ugm-3,5.7,R,ugm-3 (TEOM FDMS),1.72094,R,ugm-3,5.1,R,ugm-3 (TEOM FDMS),5.5,R,ugm-3 (TEOM FDMS)
56,03-01-2015,09:00,6.9,R,ugm-3 (TEOM FDMS),19.22464,R,ugm-3,69.64034,R,ugm-3,99.1177,R,ugm-3,1.8,R,ugm-3 (TEOM FDMS),1.6,R,ugm-3 (TEOM FDMS),8.13248,R,ugm-3,8.8,R,ugm-3 (TEOM FDMS),2.77998,R,ugm-3,5.1,R,ugm-3 (TEOM FDMS),7.2,R,ugm-3 (TEOM FDMS)
57,03-01-2015,10:00,22.0,R,ugm-3 (TEOM FDMS),32.46223,R,ugm-3,77.57817,R,ugm-3,127.3529,R,ugm-3,14.6,R,ugm-3 (TEOM FDMS),3.6,R,ugm-3 (TEOM FDMS),5.13893,R,ugm-3,3.2,R,ugm-3 (TEOM FDMS),3.57425,R,ugm-3,7.4,R,ugm-3 (TEOM FDMS),-0.4,R,ugm-3 (TEOM FDMS)
58,03-01-2015,11:00,8.3,R,ugm-3 (TEOM FDMS),33.81119,R,ugm-3,75.71014,R,ugm-3,127.55323,R,ugm-3,3.1,R,ugm-3 (TEOM FDMS),4.8,R,ugm-3 (TEOM FDMS),9.37979,R,ugm-3,12.7,R,ugm-3 (TEOM FDMS),3.44254,R,ugm-3,5.2,R,ugm-3 (TEOM FDMS),7.9,R,ugm-3 (TEOM FDMS)
59,03-01-2015,12:00,6.4,R,ugm-3 (TEOM FDMS),26.9395,R,ugm-3,72.27768,R,ugm-3,113.58433,R,ugm-3,1.6,R,ugm-3 (TEOM FDMS),3.5,R,ugm-3 (TEOM FDMS),9.82882,R,ugm-3,12.9,R,ugm-3 (TEOM FDMS),3.83901,R,ugm-3,4.8,R,ugm-3 (TEOM FDMS),9.4,R,ugm-3 (TEOM FDMS)
60,03-01-2015,13:00,8.9,R,ugm-3 (TEOM FDMS),37.22629,R,ugm-3,72.31975,R,ugm-3,129.39927,R,ugm-3,5.9,R,ugm-3 (TEOM FDMS),5.7,R,ugm-3 (TEOM FDMS),8.38194,R,ugm-3,10.7,R,ugm-3 (TEOM FDMS),4.36787,R,ugm-3,3.0,R,ugm-3 (TEOM FDMS),5.0,R,ugm-3 (TEOM FDMS)
61,03-01-2015,14:00,13.7,R,ugm-3 (TEOM FDMS),55.60744,R,ugm-3,80.17678,R,ugm-3,165.44033,R,ugm-3,11.0,R,ugm-3 (TEOM FDMS),8.8,R,ugm-3 (TEOM FDMS),2.34495,R,ugm-3,8.1,R,ugm-3 (TEOM FDMS),5.22867,R,ugm-3,2.7,R,ugm-3 (TEOM FDMS),-0.7,R,ugm-3 (TEOM FDMS)
62,03-01-2015,15:00,9.6,R,ugm-3 (TEOM FDMS),48.90414,R,ugm-3,78.5612,R,ugm-3,153.5465,R,ugm-3,10.9,R,ugm-3 (TEOM FDMS),10.2,R,ugm-3 (TEOM FDMS),4.73979,R,ugm-3,9.3,R,ugm-3 (TEOM FDMS),4.43439,R,ugm-3,-1.3,R,ugm-3 (TEOM FDMS),-0.9,R,ugm-3 (TEOM FDMS)
63,03-01-2015,16:00,9.5,R,ugm-3 (TEOM FDMS),37.47918,R,ugm-3,71.04651,R,ugm-3,128.51378,R,ugm-3,10.3,R,ugm-3 (TEOM FDMS),9.4,R,ugm-3 (TEOM FDMS),9.47958,R,ugm-3,9.0,R,ugm-3 (TEOM FDMS),3.64078,R,ugm-3,-0.8,R,ugm-3 (TEOM FDMS),-0.4,R,ugm-3 (TEOM FDMS)
